# Synthetic Unihan_Readings.txt extracted from hexagram output
U+6840	kMandarin	jié
U+6840	kDefinition	chicken roost; ancient emperor
U+7AED	kMandarin	jié
U+7AED	kDefinition	put forth great effort; exhaust
U+7BC0	kMandarin	jié
U+7BC0	kDefinition	knot, node, joint; section; hexagram ䷻
U+89E3	kMandarin	jiě
U+89E3	kDefinition	loosen, unfasten, untie; explain; hexagram ䷧
U+91D1	kMandarin	jīn
U+91D1	kDefinition	gold; metals in general; money; Kangxi radical 167
U+76E1	kMandarin	jǐn
U+76E1	kDefinition	exhaust, use up; deplete
U+8B39	kMandarin	jǐn
U+8B39	kDefinition	prudent, cautious; attentive
U+8C28	kMandarin	jǐn
U+8C28	kDefinition	prudent, cautious; attentive
U+6649	kMandarin	jìn
U+6649	kDefinition	advance, increase; promote; hexagram ䷢
U+8FD1	kMandarin	jìn
U+8FD1	kDefinition	near, close; approach; intimate
U+8FDB	kMandarin	jìn
U+8FDB	kDefinition	advance, make progress, enter
U+9032	kMandarin	jìn
U+9032	kDefinition	advance, make progress, enter
U+6676	kMandarin	jīng
U+6676	kDefinition	crystal; clear, bright; radiant
U+7CBE	kMandarin	jīng
U+7CBE	kDefinition	essence; semen; spirit
U+834A	kMandarin	jīng
U+834A	kDefinition	thorns; brambles; my wife; cane
U+9A5A	kMandarin	jīng
U+9A5A	kDefinition	frighten, surprise, startle
U+4E95	kMandarin	jǐng
U+4E95	kDefinition	well, mine shaft, pit; surname; 22nd lunar mansion, determinative star μ Geminorum (Tejat); hexagram ䷯
U+5F91	kMandarin	jìng
U+5F91	kDefinition	narrow path; diameter; direct
U+656C	kMandarin	jìng
U+656C	kDefinition	respect, honor; respectfully
U+975C	kMandarin	jìng
U+975C	kDefinition	quiet, still, motionless; gentle
U+9CE9	kMandarin	jiū
U+9CE9	kDefinition	pigeon, dove; collect, assemble
U+4E45	kMandarin	jiǔ
U+4E45	kDefinition	long time (ago); time passage, grow late
U+4E5D	kMandarin	jiǔ
U+4E5D	kDefinition	nine
U+9152	kMandarin	jiǔ
U+9152	kDefinition	wine, spirits, liquor, alcoholic beverage
U+548E	kMandarin	jiù
U+548E	kDefinition	fault, defect; error, mistake
U+5C31	kMandarin	jiù
U+5C31	kDefinition	just, simply; to come, go to; to approach, near
U+5C45	kMandarin	jū
U+5C45	kDefinition	live, dwell, reside, sit
U+6A58	kMandarin	jú
U+6A58	kDefinition	orange, tangerine
U+9D74	kMandarin	jú
U+8209	kMandarin	jǔ
U+8209	kDefinition	raise, lift up; recommend
U+4FF1	kMandarin	jù
U+4FF1	kDefinition	all, together; accompany
U+62D2	kMandarin	jù
U+62D2	kDefinition	ward off with hand, defend
U+636E	kMandarin	jù
U+636E	kDefinition	to occupy, take possession of; a base, position
U+64DA	kMandarin	jù
U+64DA	kDefinition	to occupy, take possession of; a base
U+805A	kMandarin	jù
U+805A	kDefinition	assemble, meet together, collect
U+8DDD	kMandarin	jù
U+8DDD	kDefinition	distance; bird's spur
U+6C7A	kMandarin	jué
U+6C7A	kDefinition	decide, determine, judge
U+7D55	kMandarin	jué
U+7D55	kDefinition	cut, sever, break off, terminate
U+541B	kMandarin	jūn
U+541B	kDefinition	sovereign, monarch, ruler, chief, prince
U+958B	kMandarin	kāi
U+958B	kDefinition	open; initiate, begin, start
U+574E	kMandarin	kǎn
U+574E	kDefinition	pit, hole; snare, trap; crisis; trigram ☵; hexagram ䷜
U+4EA2	kMandarin	kàng
U+4EA2	kDefinition	high, proud; violent, excessive; skilled; name; 2nd lunar mansion, determinative star κ Virginis (Kang)
U+8003	kMandarin	kǎo
U+8003	kDefinition	examine, test; investigate
U+55D1	kMandarin	kē
U+55D1	kDefinition	eat seeds; reproach; loquacious
U+53EF	kMandarin	kě
U+53EF	kDefinition	may, can, -able; possibly
U+514B	kMandarin	kè
U+514B	kDefinition	gram; overcome; transliteration
U+7A7A	kMandarin	kōng
U+7A7A	kDefinition	empty, hollow, bare, deserted
U+6050	kMandarin	kǒng
U+6050	kDefinition	fear; fearful, apprehensive
U+53E3	kMandarin	kǒu
U+53E3	kDefinition	mouth; open end; entrance, gate
U+5BC7	kMandarin	kòu
U+5BC7	kDefinition	bandits, thieves; enemy; invade
U+67AF	kMandarin	kū
U+67AF	kDefinition	dried out, withered, decayed
U+82E6	kMandarin	kǔ
U+82E6	kDefinition	bitter; hardship, suffering
U+5FEB	kMandarin	kuài
U+5FEB	kDefinition	rapid, quick, speedy, fast; soon
U+5BBD	kMandarin	kuān
U+5BBD	kDefinition	broad, wide; spacious, vast
U+5BEC	kMandarin	kuān
U+5BEC	kDefinition	broad, wide; spacious, vast
U+51B5	kMandarin	kuàng
U+51B5	kDefinition	condition, situation; furthermore
U+66E0	kMandarin	kuàng
U+66E0	kDefinition	extensive, wide, broad; empty
U+6CC1	kMandarin	kuàng
U+6CC1	kDefinition	condition, situation; furthermore
U+8667	kMandarin	kuī
U+8667	kDefinition	lose, fail; damage; deficient
U+777D	kMandarin	kuí
U+777D	kDefinition	to squint; to stare at; unusual, strange; hexagram ䷥
U+6F70	kMandarin	kuì
U+6F70	kDefinition	flooding river; militarily defeat
U+5764	kMandarin	kūn
U+5764	kDefinition	earth; feminine, female; trigram ☷; hexagram ䷁
U+56F0	kMandarin	kùn
U+56F0	kDefinition	to surround, besiege; to be surrounded; difficult; hexagram ䷮
U+4F86	kMandarin	lái
U+4F86	kDefinition	come, coming; return, returning
U+72FC	kMandarin	láng
U+72FC	kDefinition	wolf
U+52DE	kMandarin	láo
U+52DE	kDefinition	labor, toil, do manual work
U+4E50	kMandarin	lè
U+4E50	kDefinition	happy, glad; enjoyable; music
U+6A02	kMandarin	lè
U+6A02	kDefinition	happy, glad; enjoyable; music
U+7C7B	kMandarin	lèi
U+7C7B	kDefinition	class, group, kind, category
U+7D2F	kMandarin	lèi
U+7D2F	kDefinition	tired; implicate, involve; bother
U+985E	kMandarin	lèi
U+985E	kDefinition	class, group, kind, category
U+79BB	kMandarin	lí
U+79BB	kDefinition	rare beast; strange; elegant
U+85DC	kMandarin	lí
U+85DC	kDefinition	Chenopodium album, pigweed
U+96E2	kMandarin	lí
U+96E2	kDefinition	leave, depart; go away; separate; trigram ☲; hexagram ䷝
U+9A6A	kMandarin	lí
U+9A6A	kDefinition	a pure black horse; a pair of horses
U+7406	kMandarin	lǐ
U+7406	kDefinition	reason, logic; manage
U+793C	kMandarin	lǐ
U+793C	kDefinition	social custom; manners; courtesy; rites
U+79AE	kMandarin	lǐ
U+79AE	kDefinition	social custom; manners; courtesy; rites
U+91CC	kMandarin	lǐ
U+91CC	kDefinition	unit of distance; village; lane; Kangxi radical 166
U+4F8B	kMandarin	lì
U+4F8B	kDefinition	precedent, example; regulation
U+5229	kMandarin	lì
U+5229	kDefinition	gains, advantage, profit, merit
U+529B	kMandarin	lì
U+529B	kDefinition	power, capability, influence; Kangxi radical 19
U+5389	kMandarin	lì
U+5389	kDefinition	whetstone; grind, sharpen; whet
U+53B2	kMandarin	lì
U+53B2	kDefinition	whetstone; grind, sharpen; whet
U+6817	kMandarin	lì
U+6817	kDefinition	chestnut tree, chestnuts; surname
U+7ACB	kMandarin	lì
U+7ACB	kDefinition	stand; let stand; establish, set
U+7C92	kMandarin	lì
U+7C92	kDefinition	grain; small particle
U+6190	kMandarin	lián
U+6190	kDefinition	pity, sympathize
U+9023	kMandarin	lián
U+9023	kDefinition	join, connect; continuous; even
U+7CE7	kMandarin	liáng
U+7CE7	kDefinition	food, grain, provisions
U+5169	kMandarin	liǎng
U+5169	kDefinition	two, both, pair, couple; ounce
U+52A3	kMandarin	liè
U+52A3	kDefinition	bad, inferior; slightly
U+81E8	kMandarin	lín
U+81E8	kDefinition	draw near, approach; descend; hexagram ䷒
U+9675	kMandarin	líng
U+9675	kDefinition	hill, mound; mausoleum
U+6D41	kMandarin	liú
U+6D41	kDefinition	flow, circulate, drift; class
U+516D	kMandarin	liù
U+516D	kDefinition	number six
U+807E	kMandarin	lóng
U+807E	kDefinition	deaf
U+9F8D	kMandarin	lóng
U+9F8D	kDefinition	dragon; Kangxi radical 212
U+9F99	kMandarin	lóng
U+9F99	kDefinition	dragon; symbolic of emperor
U+5EEC	kMandarin	lú
U+5EEC	kDefinition	hut, cottage; name of a mountain
U+5C65	kMandarin	lǚ
U+5C65	kDefinition	footwear, shoes; walk on, tread; hexagram ䷉
U+65C5	kMandarin	lǚ
U+65C5	kDefinition	trip, journey; travel; traveler; hexagram ䷷
U+9B6F	kMandarin	lǔ
U+9B6F	kDefinition	foolish, stupid, rash; vulgar
U+616E	kMandarin	lǜ
U+616E	kDefinition	be concerned, worry about
U+797F	kMandarin	lù
U+797F	kDefinition	blessing, happiness, prosperity
U+83C9	kMandarin	lù
U+83C9	kDefinition	the green bamboo; greenish bamboo
U+8DEF	kMandarin	lù
U+8DEF	kDefinition	road, path, street; journey
U+4E82	kMandarin	luàn
U+4E82	kDefinition	confusion, state of chaos; create chaos, revolt
U+8AD6	kMandarin	lùn
U+8AD6	kDefinition	debate; discuss; discourse
U+99AC	kMandarin	mǎ
U+99AC	kDefinition	horse; surname; Kangxi radical 187
U+6EFF	kMandarin	mǎn
U+6EFF	kDefinition	fill; full, satisfied
U+76F2	kMandarin	máng
U+76F2	kDefinition	blind; unperceptive, shortsighted
U+7F8E	kMandarin	měi
U+7F8E	kDefinition	beautiful, pretty; pleasing
U+59B9	kMandarin	mèi
U+59B9	kDefinition	younger sister
U+6627	kMandarin	mèi
U+6627	kDefinition	obscure, dark; darken
U+9B45	kMandarin	mèi
U+9B45	kDefinition	kind of forest demon, elf
U+9580	kMandarin	mén
U+9580	kDefinition	gate, door, entrance, opening; Kangxi radical 169
U+60B6	kMandarin	mèn
U+60B6	kDefinition	gloomy, depressed, melancholy
U+95F7	kMandarin	mèn
U+95F7	kDefinition	gloomy, depressed, melancholy
U+8499	kMandarin	méng
U+8499	kDefinition	cover; ignorant; suffer; Mongolia; hexagram ䷃
U+8FF7	kMandarin	mí
U+8FF7	kDefinition	bewitch, charm, infatuate
U+9761	kMandarin	mí
U+9761	kDefinition	divide, disperse, scatter
U+514D	kMandarin	miǎn
U+514D	kDefinition	spare; excuse from; evade
U+9762	kMandarin	miàn
U+9762	kDefinition	face; surface; plane; side, dimension; Kangxi radical 176
U+5EDF	kMandarin	miào
U+5EDF	kDefinition	temple, shrine; imperial court
U+6C11	kMandarin	mín
U+6C11	kDefinition	people, subjects, citizens
U+51A5	kMandarin	míng
U+51A5	kDefinition	dark, gloomy, night; deep
U+540D	kMandarin	míng
U+540D	kDefinition	name, rank, title, position
U+660E	kMandarin	míng
U+660E	kDefinition	bright, light, brilliant; clear
U+9CF4	kMandarin	míng
U+9CF4	kDefinition	cry of bird or animal; make sound
U+547D	kMandarin	mìng
U+547D	kDefinition	life; destiny, fate, luck; an order, instruction
U+8B2C	kMandarin	miù
U+8B2C	kDefinition	error, exaggeration; erroneous
U+83AB	kMandarin	mò
U+83AB	kDefinition	do not, is not, can not; negative
U+6BCD	kMandarin	mǔ
U+6BCD	kDefinition	mother; female elders; female
U+66AE	kMandarin	mù
U+66AE	kDefinition	evening, dusk, sunset; ending
U+6728	kMandarin	mù
U+6728	kDefinition	tree; wood, lumber; wooden
U+76EE	kMandarin	mù
U+76EE	kDefinition	eye; look, see; division, topic; Kangxi radical 109
U+7D0D	kMandarin	nà
U+7D0D	kDefinition	admit, take, receive, accept
U+4E43	kMandarin	nǎi
U+4E43	kDefinition	then; really, indeed; as it turned out, after all; namely
U+5357	kMandarin	nán
U+5357	kDefinition	south; southern part; southward
U+7537	kMandarin	nán
U+7537	kDefinition	male, man; son; baron; surname
U+96E3	kMandarin	nán
U+96E3	kDefinition	difficult, arduous, hard; unable
U+5167	kMandarin	nèi
U+5167	kDefinition	inside, interior; domestic
U+80FD	kMandarin	néng
U+80FD	kDefinition	to be able; can, permitted to; ability
U+5C3C	kMandarin	ní
U+5C3C	kDefinition	Buddhist nun; transliteration
U+5FF5	kMandarin	niàn
U+5FF5	kDefinition	think of, recall, study
U+9CE5	kMandarin	niǎo
U+9CE5	kDefinition	bird; Kangxi radical 196
U+5B81	kMandarin	níng
U+5B81	kDefinition	calm, peaceful, serene; healthy
U+5BE7	kMandarin	níng
U+5BE7	kDefinition	repose, serenity, peace; peaceful
U+4F5E	kMandarin	nìng
U+4F5E	kDefinition	flattery; glib
U+725B	kMandarin	niú
U+725B	kDefinition	cow, ox, bull; Kangxi radical 93; 9th lunar mansion, determinative star β Capricorni (Dabih)
U+99D1	kMandarin	nú
U+99D1	kDefinition	tired, old horse; old, weak
U+5973	kMandarin	nǚ
U+5973	kDefinition	woman, girl; feminine; Kangxi radical 38; 10th lunar mansion, determinative star ε Aquarii (Albali)
U+5076	kMandarin	ǒu
U+5076	kDefinition	accidentally, coincidently; an idol
U+65C1	kMandarin	páng
U+65C1	kDefinition	side; by side, close by, near
U+888D	kMandarin	páo
U+888D	kDefinition	long gown, robe, cloak
U+914D	kMandarin	pèi
U+914D	kDefinition	match, pair; equal; blend
U+5F6D	kMandarin	péng
U+5F6D	kDefinition	name of ancient country; surname
U+75B2	kMandarin	pí
U+75B2	kDefinition	feel tired, be exhausted; weak
U+504F	kMandarin	piān
U+504F	kDefinition	inclined one side; slanting
U+54C1	kMandarin	pǐn
U+54C1	kDefinition	article, product, commodity
U+8058	kMandarin	pìn
U+8058	kDefinition	engage, employ; betroth
U+5C4F	kMandarin	píng
U+5C4F	kDefinition	folding screen, shield
U+5E73	kMandarin	píng
U+5E73	kDefinition	flat, level, even; peaceful
U+8FEB	kMandarin	pò
U+8FEB	kDefinition	coerce, force, compel; urgent
U+666E	kMandarin	pǔ
U+666E	kDefinition	universal, general, widespread
U+59BB	kMandarin	qī
U+59BB	kDefinition	wife
U+5176	kMandarin	qí
U+5176	kDefinition	his, her, its, their; that
U+5C90	kMandarin	qí
U+5C90	kDefinition	high; majestic; fork in road
U+9A0E	kMandarin	qí
U+9A0E	kDefinition	ride horseback; mount; cavalry
U+9F4A	kMandarin	qí
U+9F4A	kDefinition	even, uniform, of equal length; Kangxi radical 210
U+8C48	kMandarin	qǐ
U+8C48	kDefinition	how? what?
U+8D77	kMandarin	qǐ
U+8D77	kDefinition	rise, stand up; go up; begin
U+5668	kMandarin	qì
U+5668	kDefinition	receptacle, vessel; instrument
U+6C14	kMandarin	qì
U+6C14	kDefinition	steam, vapor; Kangxi radical 84
U+6C23	kMandarin	qì
U+6C23	kDefinition	air, gas, steam, vapor; spirit
U+8B19	kMandarin	qiān
U+8B19	kDefinition	humble, modest; hexagram ䷎
U+4E7E	kMandarin	qián
U+4E7E	kDefinition	dry; warming principle of the sun, penetrating and fertilizing, heavenly generative principle (male); trigram ☰; hexagram ䷀
U+6F5B	kMandarin	qián
U+6F5B	kDefinition	hide; hidden, secret, latent
U+6F5C	kMandarin	qián
U+6F5C	kDefinition	hide; hidden, secret, latent
U+58BB	kMandarin	qiáng
U+58BB	kDefinition	wall
U+5F37	kMandarin	qiáng
U+5F37	kDefinition	strong, powerful, energetic
U+5F3A	kMandarin	qiáng
U+5F3A	kDefinition	strong, powerful, energetic
U+6194	kMandarin	qiáo
U+6194	kDefinition	be worn-out, emaciated, haggard
U+4E14	kMandarin	qiě
U+4E14	kDefinition	moreover, also (post-subject); about to, will soon (pre-verb)
U+602F	kMandarin	qiè
U+602F	kDefinition	lacking in courage, afraid
U+4EB2	kMandarin	qīn
U+4EB2	kDefinition	relatives, parents; intimate the hazel nut or filbert tree a thorny tree
U+89AA	kMandarin	qīn
U+89AA	kDefinition	relatives, parents; intimate
U+50BE	kMandarin	qīng
U+50BE	kDefinition	upset, pour out, overflow
U+537F	kMandarin	qīng
U+537F	kDefinition	noble, high officer
U+60C5	kMandarin	qíng
U+60C5	kDefinition	feeling, sentiment, emotion
U+8ACB	kMandarin	qǐng
U+8ACB	kDefinition	ask, request; invite; please
U+78EC	kMandarin	qìng
U+78EC	kDefinition	musical instrument; musical stone
U+7A77	kMandarin	qióng
U+7A77	kDefinition	poor, destitute, impoverished
U+7AAE	kMandarin	qióng
U+7AAE	kDefinition	poor, destitute, impoverished
U+6C42	kMandarin	qiú
U+6C42	kDefinition	seek; demand, request; beseech
U+9A45	kMandarin	qū
U+9A45	kDefinition	spur a horse on; expel, drive away
U+53D6	kMandarin	qǔ
U+53D6	kDefinition	take, receive, obtain; select
U+53BB	kMandarin	qù
U+53BB	kDefinition	go away, leave, depart
U+5168	kMandarin	quán
U+5168	kDefinition	maintain, keep whole or intact
U+62F3	kMandarin	quán
U+62F3	kDefinition	fist; various forms of boxing
U+6CC9	kMandarin	quán
U+6CC9	kDefinition	spring, fountain; wealth, money
U+786E	kMandarin	què
U+786E	kDefinition	sure, certain; real, true
U+78BA	kMandarin	què
U+78BA	kDefinition	sure, certain; real, true
U+95D5	kMandarin	què
U+95D5	kDefinition	watch tower; palace
U+9D72	kMandarin	què
U+9D72	kDefinition	magpie; Pica species (various)
U+7FA4	kMandarin	qún
U+7FA4	kDefinition	group, crowd, multitude, mob
U+7136	kMandarin	rán
U+7136	kDefinition	yes, certainly; pledge, promise
U+9952	kMandarin	ráo
U+9952	kDefinition	bountiful, abundant, plentiful
U+71B1	kMandarin	rè
U+71B1	kDefinition	hot; heat; fever; restless; zeal
U+4EBA	kMandarin	rén
U+4EBA	kDefinition	man; people; mankind; someone else
U+4EC1	kMandarin	rén
U+4EC1	kDefinition	humaneness, benevolence, kindness
U+58EC	kMandarin	rén
U+58EC	kDefinition	ninth heavenly stem
U+4EFB	kMandarin	rèn
U+4EFB	kDefinition	trust to, rely on, appoint; to bear, duty, office; allow
U+65E5	kMandarin	rì
U+65E5	kDefinition	sun; day; daytime
U+67D4	kMandarin	róu
U+67D4	kDefinition	soft; gentle, pliant
U+5982	kMandarin	rú
U+5982	kDefinition	if, supposing; as if; like, as
U+4E73	kMandarin	rǔ
U+4E73	kDefinition	breast, nipples; milk, suckle
U+5165	kMandarin	rù
U+5165	kDefinition	enter, come in(to), join
U+77A4	kMandarin	rún
U+77A4	kDefinition	to blink or twitch the eyes
U+5F31	kMandarin	ruò
U+5F31	kDefinition	weak; fragile, delicate
U+82E5	kMandarin	ruò
U+82E5	kDefinition	if, supposing, assuming; similar
U+4E09	kMandarin	sān
U+4E09	kDefinition	three
U+6563	kMandarin	sàn
U+6563	kDefinition	scatter, disperse, break up
U+4E27	kMandarin	sàng
U+4E27	kDefinition	mourning; mourn; funeral
U+55AA	kMandarin	sàng
U+55AA	kDefinition	mourning; mourn; funeral
U+7A61	kMandarin	sè
U+7A61	kDefinition	farm, harvest grain; stingy
U+5C71	kMandarin	shān
U+5C71	kDefinition	mountain, hill, peak
U+5584	kMandarin	shàn
U+5584	kDefinition	good, virtuous, charitable, kind
U+50B7	kMandarin	shāng
U+50B7	kDefinition	wound, injury; fall ill from
U+4E0A	kMandarin	shàng
U+4E0A	kDefinition	top; superior, highest; go up, send up
U+88F3	kMandarin	shang
U+88F3	kDefinition	clothes; skirt; beautiful
U+5C11	kMandarin	shǎo
U+5C11	kDefinition	few, less, inadequate
U+820C	kMandarin	shé
U+820C	kDefinition	tongue; clapper of bell; Kangxi radical 135
U+86C7	kMandarin	shé
U+86C7	kDefinition	snake
U+820D	kMandarin	shě
U+820D	kDefinition	house, dwelling; dwell, reside
U+6D89	kMandarin	shè
U+6D89	kDefinition	ford stream, wade across
U+8EAB	kMandarin	shēn
U+8EAB	kDefinition	body; trunk, hull; Kangxi radical 158
U+795E	kMandarin	shén
U+795E	kDefinition	spirit, god, supernatural being
U+5347	kMandarin	shēng
U+5347	kDefinition	arise, go up; hoist; advance; hexagram ䷭
U+58F0	kMandarin	shēng
U+58F0	kDefinition	sound, voice, noise; tone; music
U+7272	kMandarin	shēng
U+7272	kDefinition	sacrificial animal; animal
U+751F	kMandarin	shēng
U+751F	kDefinition	life, living, lifetime; birth
U+8072	kMandarin	shēng
U+8072	kDefinition	sound, voice, noise; tone; music
U+5723	kMandarin	shèng
U+5723	kDefinition	holy, sacred
U+76DB	kMandarin	shèng
U+76DB	kDefinition	abundant, flourishing; contain; fill
U+8056	kMandarin	shèng
U+8056	kDefinition	holy, sacred; sage
U+5931	kMandarin	shī
U+5931	kDefinition	lose; make mistake, neglect
U+5E2B	kMandarin	shī
U+5E2B	kDefinition	teacher, master, specialist; multitude, troops; hexagram ䷆
U+65BD	kMandarin	shī
U+65BD	kDefinition	grant, bestow; give; act; name
U+6E7F	kMandarin	shī
U+6E7F	kDefinition	wet, moist, humid, damp; illness
U+6FD5	kMandarin	shī
U+6FD5	kDefinition	wet, moist, humid, damp; an illness
U+9CF2	kMandarin	shī
U+9CF2	kDefinition	turtledove, cuckoo
U+5BE6	kMandarin	shí
U+5BE6	kDefinition	real, true, solid, honest
U+65F6	kMandarin	shí
U+65F6	kDefinition	time, season; era, age, period
U+6642	kMandarin	shí
U+6642	kDefinition	time, season; era, age, period
U+77F3	kMandarin	shí
U+77F3	kDefinition	stone, rock, mineral; Kangxi radical 112
U+8B58	kMandarin	shí
U+8B58	kDefinition	recognize, understand, know
U+98DF	kMandarin	shí
U+98DF	kDefinition	eat; meal; food; Kangxi radical 184
U+4F7F	kMandarin	shǐ
U+4F7F	kDefinition	cause, send on a mission, order; envoy, messenger, ambassador
U+59CB	kMandarin	shǐ
U+59CB	kDefinition	begin, start; then, only then
U+77E2	kMandarin	shǐ
U+77E2	kDefinition	arrow, dart; vow, swear
U+4E16	kMandarin	shì
U+4E16	kDefinition	generation; world; era
U+4E8B	kMandarin	shì
U+4E8B	kDefinition	affair, matter, business; to serve; accident, incident
U+55DC	kMandarin	shì
U+55DC	kDefinition	be fond of, have weakness for
U+566C	kMandarin	shì
U+566C	kDefinition	bite; gnaw; snap at
U+58EB	kMandarin	shì
U+58EB	kDefinition	scholar, gentleman; soldier
U+5BA4	kMandarin	shì
U+5BA4	kDefinition	room, home, house, chamber; 13th lunar mansion, determinative star α Pegasi (Markab)
U+5E02	kMandarin	shì
U+5E02	kDefinition	market, fair; city, town; trade
U+5F0F	kMandarin	shì
U+5F0F	kDefinition	style, system, formula, rule
U+5F12	kMandarin	shì
U+5F12	kDefinition	to kill one's superior
U+662F	kMandarin	shì
U+662F	kDefinition	indeed, yes, right; to be; demonstrative pronoun, this, that
U+6C0F	kMandarin	shì
U+6C0F	kDefinition	clan, family; mister
U+87AB	kMandarin	shì
U+87AB	kDefinition	poison; sting; poisonous insect
U+8A66	kMandarin	shì
U+8A66	kDefinition	test, try, experiment
U+8BD5	kMandarin	shì
U+8BD5	kDefinition	test, try, experiment
U+624B	kMandarin	shǒu
U+624B	kDefinition	hand
U+9996	kMandarin	shǒu
U+9996	kDefinition	head; first; leader, chief; a poem; Kangxi radical 185
U+53D7	kMandarin	shòu
U+53D7	kDefinition	receive, accept, get; bear, stand
U+53D4	kMandarin	shū
U+53D4	kDefinition	father's younger brother
U+6A1E	kMandarin	shū
U+6A1E	kDefinition	door hinge; pivot; center of power
U+6DD1	kMandarin	shū
U+6DD1	kDefinition	good, pure, virtuous, charming
U+8F38	kMandarin	shū
U+8F38	kDefinition	transport, carry, haul
U+5C6C	kMandarin	shǔ
U+5C6C	kDefinition	class, category, type; to belong to
U+9ECD	kMandarin	shǔ
U+9ECD	kDefinition	glutinous millet; Kangxi radical 202
U+5EB6	kMandarin	shù
U+5EB6	kDefinition	numerous, various; multitude
U+620D	kMandarin	shù
U+620D	kDefinition	defend borders, guard frontiers
U+6578	kMandarin	shù
U+6578	kDefinition	number; several; count; fate
U+8AB0	kMandarin	shuí
U+8AB0	kDefinition	who? whom? whose? anyone?
U+6C34	kMandarin	shuǐ
U+6C34	kDefinition	water, liquid, lotion, juice
U+821C	kMandarin	shùn
U+821C	kDefinition	legendary ruler, last of the Five Emperors
U+9806	kMandarin	shùn
U+9806	kDefinition	obey, submit to, go along with
U+8AAA	kMandarin	shuō
U+8AAA	kDefinition	speak, say, talk; scold, upbraid
U+601D	kMandarin	sī
U+601D	kDefinition	think, consider, ponder; final particle
U+65AF	kMandarin	sī
U+65AF	kDefinition	this, thus, such; to lop off; emphatic particle
U+79C1	kMandarin	sī
U+79C1	kDefinition	private, personal; secret
U+6B7B	kMandarin	sǐ
U+6B7B	kDefinition	die; dead; death
U+56DB	kMandarin	sì
U+56DB	kDefinition	four
U+5DF3	kMandarin	sì
U+5DF3	kDefinition	sixth earthly branch
U+677E	kMandarin	sōng
U+677E	kDefinition	pine tree; fir tree
U+8A1F	kMandarin	sòng
U+8A1F	kDefinition	accuse; argue, dispute; litigate; hexagram ䷅
U+9001	kMandarin	sòng
U+9001	kDefinition	see off, send off; dispatch, give
U+4FD7	kMandarin	sú
U+4FD7	kDefinition	social customs; vulgar, unrefined
U+5BBF	kMandarin	sù
U+5BBF	kDefinition	stop, rest, lodge, stay overnight; constellation
U+7D20	kMandarin	sù
U+7D20	kDefinition	white (silk); plain; vegetarian; formerly; normally
U+901F	kMandarin	sù
U+901F	kDefinition	quick, prompt, speedy
U+7B6D	kMandarin	suàn
U+7B6D	kDefinition	an ancient device for working with numbers; count, calculate, figure
U+867D	kMandarin	suī
U+867D	kDefinition	although, even if
U+96D6	kMandarin	suī
U+96D6	kDefinition	although, even if
U+96A8	kMandarin	suí
U+96A8	kDefinition	follow, listen to, submit; to accompany; subsequently, then; hexagram ䷐
U+5B6B	kMandarin	sūn
U+5B6B	kDefinition	grandchild, descendent; surname
U+640D	kMandarin	sǔn
U+640D	kDefinition	diminish; impair; injure; hexagram ䷨
U+6240	kMandarin	suǒ
U+6240	kDefinition	place, location; numerary adjunct
U+7D22	kMandarin	suǒ
U+7D22	kDefinition	large rope, cable; rules, laws; to demand, to exact; to search, inquire; isolated
U+80CE	kMandarin	tāi
U+80CE	kDefinition	unborn child, embryo, fetus
U+592A	kMandarin	tài
U+592A	kDefinition	very, too, much; big; extreme
U+6CF0	kMandarin	tài
U+6CF0	kDefinition	great, exalted, superior; big; hexagram ䷊
U+5606	kMandarin	tàn
U+5606	kDefinition	sigh, admire
U+6B4E	kMandarin	tàn
U+6B4E	kDefinition	sigh, admire
U+5802	kMandarin	táng
U+5802	kDefinition	hall; government office
U+68E0	kMandarin	táng
U+68E0	kDefinition	crab apple tree; wild plums
U+557C	kMandarin	tí
U+557C	kDefinition	weep, whimper; howl, twitter
U+4F53	kMandarin	tǐ
U+4F53	kDefinition	body; group, class, body, unit; inferior
U+9AD4	kMandarin	tǐ
U+9AD4	kDefinition	body; group, class, body, unit
U+60D5	kMandarin	tì
U+60D5	kDefinition	be cautious, careful, alert
U+5929	kMandarin	tiān
U+5929	kDefinition	sky, heaven; god, celestial
U+7530	kMandarin	tián
U+7530	kDefinition	field, arable land, cultivated
U+5EAD	kMandarin	tíng
U+5EAD	kDefinition	courtyard; spacious hall or yard
U+901A	kMandarin	tōng
U+901A	kDefinition	pass through; common; communicate
U+540C	kMandarin	tóng
U+540C	kDefinition	same, similar; together with
U+7D71	kMandarin	tǒng
U+7D71	kDefinition	govern, command, control; unite
U+7EDF	kMandarin	tǒng
U+7EDF	kDefinition	govern, command, control; unite
U+982D	kMandarin	tóu
U+982D	kDefinition	head; top; chief, first; boss
U+5F92	kMandarin	tú
U+5F92	kDefinition	disciple, follower; go on foot
U+571F	kMandarin	tǔ
U+571F	kDefinition	soil, earth; items made of earth
U+5F56	kMandarin	tuàn
U+5F56	kDefinition	a hog; a hedgehog; a porcupine
U+96A4	kMandarin	tuí
U+96A4	kDefinition	to fall in ruins; to collapse
U+9000	kMandarin	tuì
U+9000	kDefinition	step back, retreat, withdraw
U+3E60	kMandarin	tún
U+3E60	kDefinition	(same as 豚) a small big; a sucking pig, to shuffle along without lifting the feet
U+5C6F	kMandarin	tún
