# Synthetic Unihan_Readings.txt extracted from hexagram output
U+9072	kDefinition	late, tardy; slow; delay
U+99B3	kMandarin	chí
U+99B3	kDefinition	go quickly or swiftly; hurry
U+7FC5	kMandarin	chì
U+7FC5	kDefinition	wings; fin
U+5145	kMandarin	chōng
U+5145	kDefinition	fill, be full, supply
U+5BF5	kMandarin	chǒng
U+5BF5	kDefinition	favorite, concubine; favor
U+4EC7	kMandarin	chóu
U+4EC7	kDefinition	enemy, hate, hatred, enmity
U+6101	kMandarin	chóu
U+6101	kDefinition	anxiety; to worry about, be anxious
U+51FA	kMandarin	chū
U+51FA	kDefinition	go out, send out; stand; produce
U+521D	kMandarin	chū
U+521D	kDefinition	beginning, initial, primary
U+9664	kMandarin	chú
U+9664	kDefinition	eliminate, remove, except
U+6035	kMandarin	chù
U+6035	kDefinition	fear, be afraid; shy, timid
U+755C	kMandarin	chù
U+755C	kDefinition	livestock, domestic animals
U+8655	kMandarin	chù
U+8655	kDefinition	place, locale; department
U+50B3	kMandarin	chuán
U+50B3	kDefinition	summon; propagate, transmit
U+5507	kMandarin	chún
U+5507	kDefinition	lips
U+7D14	kMandarin	chún
U+7D14	kDefinition	pure, clean, simple
U+7EAF	kMandarin	chún
U+7EAF	kDefinition	pure, clean, simple
U+8F9E	kMandarin	cí
U+8F9E	kDefinition	words, speech, expression, phrase
U+8FAD	kMandarin	cí
U+8FAD	kDefinition	words, speech, expression, phrase
U+96CC	kMandarin	cí
U+96CC	kDefinition	female; feminine; gentle, soft
U+6B64	kMandarin	cǐ
U+6B64	kDefinition	this, these; in this case, then
U+4F3A	kMandarin	cì
U+4F3A	kDefinition	serve, wait upon, attend; examine
U+523A	kMandarin	cì
U+523A	kDefinition	stab; prick, irritate; prod
U+8CDC	kMandarin	cì
U+8CDC	kDefinition	give, bestow favors; appoint
U+4ECE	kMandarin	cóng
U+4ECE	kDefinition	from, by, since, whence, through
U+5F9E	kMandarin	cóng
U+5F9E	kDefinition	from, by, since, whence, through
U+60B4	kMandarin	cuì
U+60B4	kDefinition	suffer, become emaciated, haggard
U+7CB9	kMandarin	cuì
U+7CB9	kDefinition	pure; unadulterated; select
U+8403	kMandarin	cuì
U+8403	kDefinition	dense, thick, close-set; to collect together; hexagram ䷬
U+5B58	kMandarin	cún
U+5B58	kDefinition	exist, live, be; survive; remain
U+8345	kMandarin	dā
U+8345	kDefinition	answer: small bean; thick
U+5927	kMandarin	dà
U+5927	kDefinition	big, great, vast, large, high
U+6020	kMandarin	dài
U+6020	kDefinition	idle, remiss, negligent; neglect
U+6234	kMandarin	dài
U+6234	kDefinition	wear on top; support
U+6B86	kMandarin	dài
U+6B86	kDefinition	dangerous, perilous; endanger
U+4E39	kMandarin	dān
U+4E39	kDefinition	cinnabar (native HgS); vermilion (artificial HgS used as pigment)
U+510B	kMandarin	dān
U+510B	kDefinition	a small jar; to bear a burden; a load of two
U+4F46	kMandarin	dàn
U+4F46	kDefinition	only; but, however, yet, still
U+5F48	kMandarin	dàn
U+5F48	kDefinition	pellet, bullet, shot, shell
U+7576	kMandarin	dāng
U+7576	kDefinition	bear, accept, undertake; just
U+5012	kMandarin	dào
U+5012	kDefinition	fall over; lie down; take turns
U+76DC	kMandarin	dào
U+76DC	kDefinition	rob, steal; thief, bandit
U+9053	kMandarin	dào
U+9053	kDefinition	path, road, street; method, way
U+5F97	kMandarin	dé
U+5F97	kDefinition	obtain, get, gain, acquire
U+5FB7	kMandarin	dé
U+5FB7	kDefinition	ethics, morality, virtue
U+5730	kMandarin	de
U+5730	kDefinition	earth; soil, ground; region
U+767B	kMandarin	dēng
U+767B	kDefinition	rise, mount, board, climb
U+7B49	kMandarin	děng
U+7B49	kDefinition	rank, grade; to wait; equal, “and so forth”
U+4F4E	kMandarin	dī
U+4F4E	kDefinition	low; to lower, hang, bend, bow
U+6575	kMandarin	dí
U+6575	kDefinition	enemy, foe, rival; resist
U+837B	kMandarin	dí
U+837B	kDefinition	reed, Miscanthus saccariflorus
U+5E1D	kMandarin	dì
U+5E1D	kDefinition	supreme ruler, emperor; god
U+8DCC	kMandarin	diē
U+8DCC	kDefinition	stumble, slip, fall down; stamp
U+9F0E	kMandarin	dǐng
U+9F0E	kDefinition	large, three-legged bronze caldron; Kangxi radical 206; hexagram ䷱
U+5B9A	kMandarin	dìng
U+5B9A	kDefinition	decide, settle, fix
U+51AC	kMandarin	dōng
U+51AC	kDefinition	winter, 11th lunar month
U+6771	kMandarin	dōng
U+6771	kDefinition	east, eastern, eastward
U+52A8	kMandarin	dòng
U+52A8	kDefinition	move, happen; movement, action
U+52D5	kMandarin	dòng
